18/11/15 23:15
プロジェクトの翻訳状況

            	 分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	8307	124502	    746064	    862134	   53	
未翻訳：        	6421	102189	    599639	    696990	   42	
繰り返しを除いた：   	7962	123513	    739190	    854531	   53	
繰り返しを除いた未翻訳：	6284	101531	    595329	    692135	   42	


ファイルごとの翻訳状況：

ファイル名                                        	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
base-arrays.md                               	     32	    24	         32	            24	    248	   209	        248	           209	          2882	         2377	              2882	                 2377	          2959	         2451	              2959	                 2451	
base-base.md                                 	     56	    13	         56	            13	    564	    22	        564	            22	          5926	          152	              5926	                  152	          6135	          161	              6135	                  161	
base-c.md                                    	      6	     0	          6	             0	     77	     0	         77	             0	           808	            0	               808	                    0	           818	            0	               818	                    0	
base-collections.md                          	    134	     3	         95	             2	    581	     9	        526	             6	          4848	           67	              4238	                   47	          5188	           73	              4562	                   51	
base-constants.md                            	     11	     0	         11	             0	     24	     0	         24	             0	           332	            0	               332	                    0	           334	            0	               334	                    0	
base-file.md                                 	      2	     0	          2	             0	     74	     0	         74	             0	          1489	            0	              1489	                    0	          1491	            0	              1491	                    0	
base-io-network.md                           	     27	     1	         27	             1	    487	     3	        487	             3	          3701	           10	              3701	                   10	          4049	           11	              4049	                   11	
base-iterators.md                            	      2	     0	          2	             0	     16	     0	         16	             0	           331	            0	               331	                    0	           332	            0	               332	                    0	
base-libc.md                                 	      2	     0	          2	             0	     17	     0	         17	             0	           281	            0	               281	                    0	           283	            0	               283	                    0	
base-math.md                                 	      6	     0	          6	             0	    219	     0	        219	             0	          2846	            0	              2846	                    0	          2857	            0	              2857	                    0	
base-multi-threading.md                      	     18	     0	         18	             0	     58	     0	         58	             0	           786	            0	               786	                    0	           808	            0	               808	                    0	
